Solution,Bluefish-FD-XI-TD,Eman_5.40_fad_12,SugaR.AI.ICCF.1.00,ShashChess15.1,Bluefish-12-W,Crystal-2020-06-29,Bluefish-XI,CorChess v6,Houdidi_6.03_tac_1,Stockfish_2020-07-19, ShashChess 12.1,Stockfish_20121407,Eman 6.61,Stockfish_20062710,SugaR.AI.1.00,Stockfish 11,Honey-XI,Stockfish 10,Crystal 2020-05-02,Black-Diamond-XI,Black-Diamond-XR7,Black-Diamond-XI-r2,Crystal 1.1,Stockfish 9,McCain-v2,Houdidi_6.03_tac_def,Sting-SF-16,Sting-SF-20,Ethereal 12.25,Houdini 1.5 x64,Critter 1.6a 64bit,Stockfish 8,Xiphos 0.6,Ethereal 11.75,Stockfish 7,Bluefish-FD-XI-DC,Lc0 v0.26.3 s1,NumEngSolvedCount,MeanTimeSec
110) Kf2-e1      ,83.0,518.0,175.0,,82.0,24.0,37.0,717.0,,1368.0,150.0,53.0,1672.0,204.0,35.0,450.0,1628.0,591.0,47.0,,9.0,7.0,527.0,,23.0,389.0,1650.0,,264.0,32.0,,,,153.0,262.0,0.0,,28,398.0
119) h4-h5       ,148.0,343.0,772.0,383.0,52.0,697.0,483.0,,,257.0,1205.0,4.0,33.0,223.0,3.0,1119.0,717.0,394.0,37.0,37.0,103.0,72.0,23.0,,127.0,,,1749.0,1221.0,8.0,12.0,,,1424.0,,4.0,,28,416.0
 35) Qe3xg5      ,407.0,106.0,1094.0,645.0,1253.0,8.0,1093.0,253.0,115.0,20.0,131.0,559.0,702.0,177.0,490.0,366.0,155.0,411.0,7.0,442.0,,11.0,987.0,573.0,1039.0,,0.0,0.0,,,,,,921.0,,39.0,0.0,28,429.0
 42) b2-b4       ,3.0,8.0,42.0,2.0,0.0,237.0,0.0,64.0,25.0,40.0,4.0,0.0,4.0,10.0,0.0,2.0,8.0,32.0,46.0,43.0,7.0,72.0,47.0,164.0,7.0,,,,,,,657.0,,,,160.0,0.0,27,62.0
172) Rd1-d3      ,1.0,0.0,0.0,2.0,3.0,3.0,8.0,,8.0,15.0,3.0,180.0,0.0,112.0,463.0,26.0,682.0,92.0,13.0,3.0,0.0,8.0,9.0,20.0,,303.0,,,0.0,,,0.0,,,,0.0,1.0,27,72.0
129) Bb4-a5      ,548.0,12.0,0.0,0.0,240.0,3.0,,334.0,3.0,524.0,7.0,,,464.0,945.0,,812.0,399.0,1.0,9.0,7.0,5.0,2.0,570.0,228.0,218.0,1.0,0.0,,0.0,0.0,,,,,4.0,,27,198.0
 49) Kh2-g3      ,3.0,0.0,0.0,0.0,1212.0,2.0,,,2.0,,30.0,,3.0,1.0,,191.0,880.0,5.0,0.0,1454.0,85.0,17.0,47.0,,3.0,,3.0,5.0,249.0,42.0,,,273.0,941.0,566.0,0.0,1.0,27,223.0
 37) Re1-e6      ,802.0,207.0,0.0,3.0,10.0,8.0,244.0,161.0,78.0,14.0,39.0,6.0,134.0,65.0,8.0,645.0,239.0,,324.0,141.0,977.0,,680.0,104.0,1443.0,,28.0,87.0,854.0,,,,,,,9.0,0.0,27,271.0
159) Bd3xh7      ,15.0,17.0,,803.0,137.0,59.0,379.0,651.0,2.0,,13.0,,,1470.0,1057.0,,143.0,50.0,129.0,662.0,71.0,97.0,137.0,144.0,166.0,359.0,,,,13.0,16.0,184.0,,433.0,672.0,1.0,23.0,27,292.0
 56) Ne5xg6      ,8.0,3.0,,529.0,,1622.0,0.0,,24.0,238.0,,62.0,1009.0,335.0,,855.0,701.0,536.0,835.0,986.0,,1193.0,,125.0,71.0,525.0,,,518.0,1177.0,232.0,56.0,256.0,1609.0,287.0,0.0,,27,511.0
 10) Rd6xf6      ,0.0,0.0,,481.0,305.0,5.0,0.0,104.0,33.0,10.0,8.0,,,0.0,,0.0,49.0,163.0,0.0,16.0,24.0,1.0,20.0,228.0,674.0,1438.0,74.0,300.0,502.0,,,,,,,0.0,0.0,26,171.0
136) Kb5-a6      ,,309.0,0.0,3.0,8.0,5.0,1452.0,6.0,47.0,80.0,6.0,,189.0,875.0,,1150.0,1172.0,916.0,2.0,11.0,3.0,3.0,9.0,,,15.0,10.0,3.0,,130.0,209.0,,,,,0.0,82.0,26,254.0
 48) Bd3xh7      ,2.0,99.0,39.0,11.0,32.0,28.0,1.0,1312.0,4.0,150.0,151.0,7.0,17.0,,7.0,528.0,,141.0,,,,34.0,,173.0,813.0,,,,585.0,,1069.0,201.0,406.0,440.0,797.0,0.0,,26,271.0
187) Ba4xc6      ,8.0,76.0,0.0,7.0,3.0,828.0,66.0,417.0,210.0,,192.0,24.0,4.0,135.0,7.0,70.0,96.0,1022.0,1700.0,204.0,50.0,100.0,573.0,,1250.0,,,,4.0,,,,221.0,,,2.0,14.0,26,280.0
163) Qe2xe8      ,15.0,79.0,36.0,25.0,12.0,761.0,30.0,46.0,578.0,167.0,59.0,14.0,190.0,548.0,16.0,154.0,147.0,527.0,,,1045.0,825.0,1044.0,606.0,147.0,595.0,,,,,,739.0,,,,0.0,13.0,26,323.0
154) Nd4-f3      ,20.0,683.0,2.0,,5.0,19.0,68.0,,268.0,228.0,576.0,991.0,1229.0,430.0,,612.0,,196.0,1132.0,199.0,,,432.0,309.0,709.0,370.0,,,690.0,420.0,640.0,1641.0,,,370.0,3.0,5.0,26,471.0
 61) .. f4-f3    ,495.0,132.0,3.0,139.0,12.0,306.0,156.0,979.0,1323.0,5.0,524.0,780.0,73.0,158.0,83.0,708.0,,864.0,468.0,,,,1235.0,1238.0,,1668.0,,,339.0,185.0,68.0,,,278.0,,40.0,2.0,26,472.0
